title,_0,author,_,publisher,isbn,readDate,_1,_2,thumnailImage,_3,_4,_5,_6
りあクト！ TypeScriptで始めるつらくないReact開発 第4版【① 言語・環境編】,,くるみ割り書房 ft. React,,https://booth.pm/ja/items/2368045,,2023/11/15,,,https://booth.pximg.net/a6bb6149-3c80-4a32-af82-d43ef5505047/i/2368045/ae67fc6e-8f77-4024-bf8a-3e9867c85409.png,,2023/11/15,0,0
陰の実力者になりたくて！ 06(6),,東西/逢沢　大介,,KADOKAWA,9784047376915,2023/11/12,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6915/9784047376915_1_2.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17604702/,2023/11/12,0,0
陰の実力者になりたくて！ 05(5),,東西/逢沢　大介,,KADOKAWA,9784047373112,2023/11/12,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3112/9784047373112_1_3.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17322655/,2023/11/12,0,0
陰の実力者になりたくて！ 04(4),,東西/逢沢　大介,,KADOKAWA,9784047358782,2023/11/12,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8782/9784047358782.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/16622176/,2023/11/12,0,0
闇の精神史,,木澤　佐登志,,早川書房,9784153400146,2023/10/29,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0146/9784153400146_1_2.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17598330/,2023/10/29,0,0
ChatGPTの頭の中,,スティーヴン・ウルフラム/高橋　聡/稲葉　通将,,早川書房,9784153400092,2023/10/28,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0092/9784153400092_1_2.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17519632/,2023/10/28,0,0
横井軍平ゲーム館,,横井 軍平/牧野 武文,,筑摩書房,9784480432933,2023/10/24,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2933/9784480432933.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/13306913/,2023/10/24,0,0
この素晴らしい世界に祝福を！ よりみち3回目！,,暁　なつめ/三嶋　くろね,,KADOKAWA,9784041141861,2023/10/15,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1861/9784041141861_1_3.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17604814/,2023/10/15,0,0
昭和史(戦後篇(1945-1989)),,半藤一利,,平凡社,9784582766721,2023/10/14,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6721/9784582766721.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/6092311/,2023/10/14,0,0
君のクイズ,,小川哲,,朝日新聞出版,9784022518378,2023/10/14,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8378/9784022518378_1_7.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17282044/,2023/10/14,0,0
河童,,芥川 龍之介,,集英社,9784087520279,2023/10/14,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0875/08752027.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/552160/,2023/10/14,0,0
Good Code、 Bad Code 〜持続可能な開発のためのソフトウェアエンジニア的思考,,Tom Long/秋勇紀/高田新山/山本大祐,,秀和システム,9784798068169,2023/10/09,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8169/9784798068169_1_4.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17364788/,2023/10/09,0,0
どうせ死ぬのになぜ生きるのか,,名越康文,,PHP研究所,9784569820934,2023/10/09,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0934/9784569820934_1_2.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/12986753/,2023/10/09,0,0
実力も運のうち 能力主義は正義か？,,マイケル・サンデル/鬼澤　忍,,早川書房,9784150506025,2023/10/08,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6025/9784150506025_1_3.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17568808/,2023/10/08,0,0
真っ赤なウソ,,養老孟司,,PHP研究所,9784569673820,2023/09/30,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3820/9784569673820.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/6268444/,2023/09/30,0,0
もっとホワット・イフ？,,ランドール・マンロー/吉田　三知世,,早川書房,9784152102133,2023/09/19,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2133/9784152102133_1_2.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17372656/,2023/09/19,0,0
走馬灯のセトリは考えておいて,,柴田　勝家,,早川書房,9784150315375,2023/09/16,,,https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5375/9784150315375_1_3.jpg?_ex=200x200,https://books.rakuten.co.jp/rb/17285275/,2023/09/16,0,0
